Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides puf3a	Peptides puf3b	Peptides puf3c	Peptides puf3d	Peptides puf3e	Peptides wta	Peptides wtb	Peptides wtc	Peptides wtd	Peptides wte	Razor + unique peptides puf3a	Razor + unique peptides puf3b	Razor + unique peptides puf3c	Razor + unique peptides puf3d	Razor + unique peptides puf3e	Razor + unique peptides wta	Razor + unique peptides wtb	Razor + unique peptides wtc	Razor + unique peptides wtd	Razor + unique peptides wte	Unique peptides puf3a	Unique peptides puf3b	Unique peptides puf3c	Unique peptides puf3d	Unique peptides puf3e	Unique peptides wta	Unique peptides wtb	Unique peptides wtc	Unique peptides wtd	Unique peptides wte	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Experiment puf3a	Experiment puf3b	Experiment puf3c	Experiment puf3d	Experiment puf3e	Experiment wta	Experiment wtb	Experiment wtc	Experiment wtd	Experiment wte	PEP	Sequence coverage puf3a [%]	Sequence coverage puf3b [%]	Sequence coverage puf3c [%]	Sequence coverage puf3d [%]	Sequence coverage puf3e [%]	Sequence coverage wta [%]	Sequence coverage wtb [%]	Sequence coverage wtc [%]	Sequence coverage wtd [%]	Sequence coverage wte [%]	Intensity	Intensity puf3a	Intensity puf3b	Intensity puf3c	Intensity puf3d	Intensity puf3e	Intensity wta	Intensity wtb	Intensity wtc	Intensity wtd	Intensity wte	LFQ intensity puf3a	LFQ intensity puf3b	LFQ intensity puf3c	LFQ intensity puf3d	LFQ intensity puf3e	LFQ intensity wta	LFQ intensity wtb	LFQ intensity wtc	LFQ intensity wtd	LFQ intensity wte	MS/MS Count puf3a	MS/MS Count puf3b	MS/MS Count puf3c	MS/MS Count puf3d	MS/MS Count puf3e	MS/MS Count wta	MS/MS Count wtb	MS/MS Count wtc	MS/MS Count wtd	MS/MS Count wte	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YPL239W	YPL239W	5	5	5	>YPL239W YAR1 SGDID:S000006160, Chr XVI from 99484-100086, Genome Release 64-1-1, Verified ORF, Cytoplasmic ankyrin-repeat containing protein of unknown function, proposed to link the processes of 40S ribosomal subunit biogenesis and adaptation to osmotic	1	5	5	5	0	3	2	1	3	1	1	0	1	2	0	3	2	1	3	1	1	0	1	2	0	3	2	1	3	1	1	0	1	2	35.5	35.5	35.5	22.355	200	200	5.21		3	2	1	3	1	1		1	2		3	2	1	3	1	1		1	2	1.0585E-24	0	20.5	15	9	21.5	9	9	0	9	15.5	45711000	0	13916000	9150700	1046300	12946000	381590	0	0	776120	7494600	0	0	9699700	0	7995200	0	0	0	0	8396400	0	3	2	1	3	1	0	0	1	2				1913	1919;2959;6012;6735;10708	True;True;True;True;True	1946;2999;6079;6811;10862	11955;11956;17938;37076;37077;37078;37079;37080;37081;37082;41625;41626;41627;65080	13516;13517;20318;42201;42202;42203;42204;42205;42206;42207;47356;47357;47358;73941	13517;20318;42202;47358;73941		
YPL240C	YPL240C	40	8	8	>YPL240C HSP82 SGDID:S000006161, Chr XVI from 98625-96496, Genome Release 64-1-1, reverse complement, Verified ORF, Hsp90 chaperone required for pheromone signaling and negative regulation of Hsf1p; docks with Tom70p for mitochondrial preprotein delivery;	1	40	8	8	22	22	30	22	33	26	21	26	23	27	3	3	7	4	6	4	3	3	3	3	3	3	7	4	6	4	3	3	3	3	50.4	9.9	9.9	81.405	709	709	5.18	4	5	9	6	8	6	4	5	4	4	4	5	9	6	8	6	4	5	4	4	0	33.9	33.3	42.7	34.6	44.1	39.5	34.1	39.5	36.7	39.8	1426500000	130530000	259950000	276460000	149480000	236450000	79844000	70447000	95843000	66622000	60914000	161110000	210960000	137360000	170670000	126620000	127230000	110500000	137250000	96877000	154330000	4	5	9	5	8	6	4	5	4	4				1914	165;385;663;1231;1232;1267;1268;1662;1693;2194;2197;2326;2327;2394;2694;3398;4103;4227;4363;5350;5771;5918;6305;6306;6391;6521;6582;6739;8142;8327;8806;9058;9679;9956;10306;10632;10712;10836;10954;11597	False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;True;True;True;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False	166;392;677;1251;1252;1288;1289;1685;1717;2225;2228;2358;2359;2430;2731;3439;4150;4275;4413;5410;5836;5984;6377;6378;6464;6596;6658;6815;8264;8452;8938;9191;9819;10102;10453;10785;10866;10867;10995;11115;11773	1074;1075;1076;1077;1078;1079;1080;1081;1082;1083;1084;1085;1086;1087;1088;1089;1090;1091;1092;1093;2673;2674;2675;2676;2677;2678;2679;2680;2681;4417;4418;4419;4420;4421;4422;4423;4424;4425;4426;4427;8121;8122;8123;8314;8315;8316;8317;8318;8319;8320;8321;8322;8323;8324;8325;8326;8327;10540;10716;10717;10718;10719;10720;10721;13419;13426;13427;13428;14103;14104;14105;14106;14107;14108;14109;14110;14111;14112;14113;14114;14115;14116;14117;14118;14473;14474;16182;16183;16184;16185;16186;16187;20460;20461;20462;20463;20464;20465;20466;24744;24745;24746;24747;24748;24749;24750;24751;24752;24753;24754;24755;24756;24757;24758;24759;24760;24761;24762;24763;24764;24765;24766;24767;24768;24769;25557;25558;25559;25560;25561;26379;26380;26381;26382;26383;26384;26385;26386;26387;26388;26389;26390;26391;26392;26393;26394;26395;33059;35689;35690;35691;36478;36479;36480;36481;36482;36483;38803;38804;38805;38806;38807;39195;39196;39197;39198;39199;39200;39201;39202;39203;39204;39205;39206;39207;39208;40229;40230;40231;40232;40233;40234;40235;40675;40676;40677;40678;40679;40680;40681;40682;40683;40684;40685;40686;40687;40688;40689;40690;40691;40692;40693;41649;41650;41651;41652;41653;41654;41655;41656;41657;41658;41659;50133;50134;50135;50136;50137;50138;50139;50140;50141;50142;51130;51131;51132;51133;51134;51135;51136;51137;51138;51139;51140;51141;51142;51143;51144;51145;51146;53749;53750;53751;53752;53753;53754;53755;53756;53757;53758;53759;53760;55205;55206;55207;55208;55209;55210;55211;55212;55213;55214;55215;55216;55217;55218;55219;55220;55221;55222;55223;55224;58578;58579;58580;58581;58582;58583;58584;58585;58586;58587;58588;58589;58590;58591;58592;58593;58594;58595;58596;58597;58598;60190;60191;60192;60193;60194;60195;60196;60197;60198;60199;60200;60201;60202;60203;60204;60205;60206;60207;60208;60209;60210;60211;60212;60213;60214;60215;60216;60217;60218;60219;60220;60221;60222;60223;62462;62463;62464;62465;62466;62467;62468;62469;62470;62471;62472;62473;62474;62475;62476;62477;64574;64575;65123;65124;65125;65126;65127;65128;65129;65130;65131;65132;65133;65134;65135;65136;65137;65138;65139;65140;65141;66066;66755;66756;71110;71111;71112;71113;71114;71115;71116;71117;71118;71119;71120;71121;71122;71123;71124;71125;71126;71127	1214;1215;1216;1217;1218;1219;1220;1221;1222;1223;1224;1225;1226;1227;1228;1229;1230;1231;1232;1233;1234;1235;1236;3008;3009;3010;3011;3012;3013;3014;3015;3016;4984;4985;4986;4987;4988;4989;4990;4991;4992;4993;4994;9267;9268;9269;9472;9473;9474;9475;9476;9477;9478;9479;9480;9481;9482;9483;9484;9485;11928;12108;12109;12110;12111;12112;12113;15190;15197;15198;15199;15955;15956;15957;15958;15959;15960;15961;15962;15963;15964;15965;15966;15967;15968;15969;15970;16348;16349;18198;18199;18200;18201;18202;18203;23154;23155;23156;23157;23158;23159;23160;28032;28033;28034;28035;28036;28037;28038;28039;28040;28041;28042;28043;28044;28045;28046;28047;28048;28049;28050;28051;28052;28053;28054;28055;28056;28057;28058;28059;28060;28061;28062;28063;28064;28065;28066;28067;28068;28069;28070;28071;28072;28073;28074;28075;28076;28077;28078;28981;28982;28983;28984;28985;29922;29923;29924;29925;29926;29927;29928;29929;29930;29931;29932;29933;29934;29935;29936;29937;29938;37747;40679;40680;40681;41555;41556;41557;41558;41559;41560;44057;44058;44059;44060;44061;44477;44478;44479;44480;44481;44482;44483;44484;44485;44486;44487;44488;44489;44490;44491;45727;45728;45729;45730;45731;45732;45733;46227;46228;46229;46230;46231;46232;46233;46234;46235;46236;46237;46238;46239;46240;46241;46242;46243;46244;46245;47380;47381;47382;47383;47384;47385;47386;47387;47388;47389;47390;47391;56912;56913;56914;56915;56916;56917;56918;56919;56920;56921;57982;57983;57984;57985;57986;57987;57988;57989;57990;57991;57992;57993;57994;57995;57996;57997;57998;57999;58000;58001;58002;58003;58004;58005;58006;58007;60945;60946;60947;60948;60949;60950;60951;60952;60953;60954;60955;60956;60957;60958;60959;60960;60961;60962;60963;60964;60965;60966;60967;62482;62483;62484;62485;62486;62487;62488;62489;62490;62491;62492;62493;62494;62495;62496;62497;62498;62499;62500;62501;62502;62503;62504;62505;62506;62507;62508;62509;62510;62511;62512;62513;62514;62515;62516;62517;62518;62519;62520;62521;62522;62523;62524;62525;62526;62527;62528;62529;62530;62531;62532;62533;62534;62535;62536;62537;62538;62539;62540;62541;62542;66282;66283;66284;66285;66286;66287;66288;66289;66290;66291;66292;66293;66294;66295;66296;66297;66298;66299;66300;66301;66302;66303;68021;68022;68023;68024;68025;68026;68027;68028;68029;68030;68031;68032;68033;68034;68035;68036;68037;68038;68039;68040;68041;68042;68043;68044;68045;68046;68047;68048;68049;68050;68051;68052;68053;68054;68055;68056;68057;68058;68059;68060;68061;68062;68063;68064;68065;68066;68067;68068;68069;68070;68071;68072;68073;70662;70663;70664;70665;70666;70667;70668;70669;70670;70671;70672;70673;70674;70675;70676;70677;70678;70679;70680;70681;70682;70683;70684;70685;70686;70687;70688;70689;73310;73311;74011;74012;74013;74014;74015;74016;74017;74018;74019;74020;74021;74022;74023;74024;74025;74026;74027;74028;74029;74030;74031;74032;74033;74034;74035;75176;75978;75979;80964;80965;80966;80967;80968;80969;80970;80971;80972;80973;80974;80975;80976;80977;80978;80979;80980;80981	1220;3012;4986;9267;9269;9475;9485;11928;12111;15190;15199;15955;15965;16349;18200;23156;28034;28983;29927;37747;40680;41557;44058;44061;44479;45733;46237;47388;56919;57986;60946;62514;66294;68028;70666;73310;74018;75176;75979;80980	144	589
YPL241C	YPL241C	1	1	1	>YPL241C CIN2 SGDID:S000006162, Chr XVI from 96153-95372,96258-96234, Genome Release 64-1-1, reverse complement, Verified ORF, GTPase-activating protein (GAP) for Cin4p; tubulin folding factor C involved in beta-tubulin (Tub2p) folding; mutants display in	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5.2	5.2	5.2	30.708	268	268	1	1										1										0.00016272	5.2	0	0	0	0	0	0	0	0	0	2638700	2638700	0	0	0	0	0	0	0	0	0	2638700	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0				1915	10594	True	10747	64395	73126	73126		
YPL242C	YPL242C	2	2	2	>YPL242C IQG1 SGDID:S000006163, Chr XVI from 95109-90622, Genome Release 64-1-1, reverse complement, Verified ORF, Essential protein required for determination of budding pattern, promotes localization of axial markers Bud4p and Cdc12p and functionally in	1	2	2	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	2	1.7	1.7	1.7	172.83	1495	1495	9.33								1		2								1		2	0.0015051	0	0	0	0	0	0	0	0.5	0	1.7	13458000	0	0	0	0	0	0	0	7055800	0	6401900	0	0	0	0	0	0	0	0	0	7228500	0	0	0	0	0	0	0	1	0	2				1916	1783;11841	True;True	1808;12022	11149;72777;72778	12556;82833;82834	12556;82833		
YPL243W	YPL243W	11	11	11	>YPL243W SRP68 SGDID:S000006164, Chr XVI from 88517-90316, Genome Release 64-1-1, Verified ORF, Core component of the signal recognition particle (SRP) ribonucleoprotein (RNP) complex that functions in targeting nascent secretory proteins to the endoplasm	1	11	11	11	2	3	3	1	7	1	3	4	1	2	2	3	3	1	7	1	3	4	1	2	2	3	3	1	7	1	3	4	1	2	23.9	23.9	23.9	69.005	599	599	5.41	2	3	4	2	7	2	4	4	2	2	2	3	4	2	7	2	4	4	2	2	9.3912E-107	4	6.2	8.2	2.3	15.9	2.3	5.5	7.3	2.3	3.7	160870000	8583900	17217000	16934000	11995000	48659000	10957000	19624000	8480000	7047000	11378000	13775000	15439000	16698000	16802000	21394000	19461000	19366000	11167000	14689000	0	2	3	4	2	7	2	4	3	2	2				1917	171;744;1459;1705;4995;6807;7030;7211;7513;11445;12679	True;True;True;True;True;True;True;True;True;True;True	172;761;1480;1730;5050;6884;7113;7296;7601;11618;12875	1155;5021;9433;10771;30641;42050;42051;42052;42053;42054;43449;44731;46566;46567;46568;46569;46570;46571;46572;46573;46574;46575;46576;46577;46578;46579;46580;70079;70080;78415;78416;78417	1332;5707;10691;12163;34911;47804;47805;47806;47807;47808;49351;50874;53004;53005;53006;53007;53008;53009;53010;53011;53012;53013;53014;53015;53016;53017;53018;79792;79793;89408;89409;89410	1332;5707;10691;12163;34911;47808;49351;50874;53004;79792;89409		
YPL245W	YPL245W	1	1	1	>YPL245W YPL245W SGDID:S000006166, Chr XVI from 85586-86950, Genome Release 64-1-1, Uncharacterized ORF, Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the nucleus and the cytoplasm	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2.6	2.6	2.6	52.256	454	454	5					1										1						0.00014973	0	0	0	0	2.6	0	0	0	0	0	1088700	0	0	0	0	1088700	0	0	0	0	0	0	0	0	0	802490	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				1918	7276	True	7361	45075	51247	51247		
YPL249C	YPL249C	1	1	1	>YPL249C GYP5 SGDID:S000006170, Chr XVI from 79353-76669, Genome Release 64-1-1, reverse complement, Verified ORF, GTPase-activating protein (GAP) for yeast Rab family members; involved in ER to Golgi trafficking; exhibits GAP activity toward Ypt1p that i	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1.5	1.5	1.5	101.8	894	894	5					1										1						0.00060175	0	0	0	0	1.5	0	0	0	0	0	3150300	0	0	0	0	3150300	0	0	0	0	0	0	0	0	0	2322000	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				1919	2428	True	2464	14605	16488	16488		
YPL249C-A	YPL249C-A	8	8	2	>YPL249C-A RPL36B SGDID:S000006438, Chr XVI from 75985-75699,76239-76224, Genome Release 64-1-1, reverse complement, Verified ORF, Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl36Ap and has similarity to rat L36 ribosomal 	1	8	8	2	5	5	7	6	6	7	7	7	8	4	5	5	7	6	6	7	7	7	8	4	1	1	2	2	1	2	2	2	2	1	57	57	10	11.135	100	100	5.55	6	5	9	10	6	11	8	7	9	5	6	5	9	10	6	11	8	7	9	5	4.9915E-58	41	43	50	43	50	50	50	50	57	34	564490000	27747000	7001100	100820000	80215000	75639000	77998000	59471000	68988000	58862000	7757600	0	0	95762000	69314000	0	92694000	79882000	88658000	90159000	0	1	1	2	3	1	3	2	2	2	1				1920	442;2159;5995;9113;9114;10686;11534;12266	True;True;True;True;True;True;True;True	449;450;2190;6061;9246;9247;10840;11707;11708;12454	3065;3066;3067;3068;3069;3070;3071;3072;3073;3074;3075;3076;3077;3078;13215;13216;13217;13218;13219;13220;13221;13222;13223;13224;36880;36881;36882;36883;36884;36885;36886;36887;36888;36889;36890;36891;55450;55451;55452;55453;55454;55455;55456;55457;64967;64968;64969;64970;64971;64972;64973;64974;64975;64976;70618;70619;70620;70621;70622;70623;70624;70625;70626;70627;70628;70629;70630;70631;70632;70633;75588;75589;75590;75591;75592;75593	3429;3430;3431;3432;3433;3434;3435;3436;3437;3438;3439;3440;3441;3442;14969;14970;14971;14972;14973;14974;14975;14976;14977;14978;14979;41986;41987;41988;41989;41990;41991;41992;41993;41994;41995;41996;41997;62774;62775;62776;62777;62778;62779;62780;62781;73816;73817;73818;73819;73820;73821;73822;73823;73824;73825;73826;73827;80359;80360;80361;80362;80363;80364;80365;80366;80367;80368;80369;80370;80371;80372;80373;80374;80375;86159;86160;86161;86162;86163;86164	3430;14972;41988;62774;62780;73826;80367;86159	145	90
YPL257W-B;YDR365W-B;YLR157C-B;YDR261C-D	YPL257W-B;YDR365W-B;YLR157C-B;YDR261C-D	32;31;31;28	1;1;1;1	0;0;0;0	>YPL257W-B YPL257W-B SGDID:S000007358, Chr XVI from 56748-58052,58054-62016, Genome Release 64-1-1, transposable_element_gene, Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-l	4	32	1	0	18	11	12	13	19	18	14	16	19	10	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	24.9	1.2	0	198.57	1755	1755;1755;1755;1604	7					1	1	2	1	1						1	1	2	1	1		1.5918E-266	15.1	9	10.3	11.4	14.9	15.2	12.9	14.2	16.8	8.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1921	329;965;1402;2655;2673;3789;5818;6487;6987;7038;7443;7679;7725;7777;8031;8063;8111;8988;9220;9327;9752;9979;10240;10279;10430;11262;11308;11381;12252;12519;12582;12805	False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False	335;984;1423;2692;2710;3832;5883;6562;7070;7121;7531;7773;7774;7828;7885;7886;8151;8185;8233;9120;9353;9464;9894;10125;10387;10426;10579;11431;11478;11552;12439;12713;12776;13001	2292;2293;2294;2295;2296;2297;2298;2299;6610;9073;9074;9075;9076;9077;15974;15975;15976;15977;15978;16056;16057;16058;16059;16060;16061;16062;16063;16064;16065;16066;16067;16068;16069;16070;16071;22779;35988;40025;43196;43197;43198;43199;43200;43201;43202;43203;43204;43205;43206;43207;43208;43209;43485;46127;46128;47501;47502;47503;47504;47505;47506;47507;47508;47509;47510;47511;47512;47811;47812;47813;47814;47815;47816;47817;48083;48084;48085;48086;48087;48088;48089;48090;49577;49578;49579;49580;49581;49582;49752;49753;49754;49755;49756;49975;49976;49977;54760;54761;54762;54763;54764;54765;56028;56029;56030;56031;56032;56033;56034;56638;56639;59070;60376;60377;60378;60379;60380;60381;60382;62012;62013;62269;62270;62271;62272;62273;62274;62275;62276;62277;62278;63162;63163;63164;63165;68785;68786;68787;68788;68789;68790;68791;68792;68793;68794;69084;69085;69607;69608;69609;69610;69611;69612;69613;75459;75460;75461;75462;75463;75464;75465;77504;77505;77506;77871;79163;79164	2606;2607;2608;2609;2610;2611;2612;2613;7615;10302;10303;10304;10305;10306;17983;17984;17985;17986;17987;18066;18067;18068;18069;18070;18071;18072;18073;18074;18075;18076;18077;18078;18079;18080;18081;18082;25811;41013;45522;49089;49090;49091;49092;49093;49094;49095;49096;49097;49098;49099;49100;49101;49102;49387;52457;52458;54035;54036;54037;54038;54039;54040;54041;54042;54043;54044;54045;54046;54047;54048;54049;54356;54357;54358;54359;54360;54361;54362;54654;54655;54656;54657;54658;54659;54660;54661;56306;56307;56308;56309;56310;56311;56523;56524;56525;56526;56527;56749;56750;56751;62013;62014;62015;62016;62017;62018;63405;63406;63407;63408;63409;63410;63411;64046;64047;66827;68250;68251;68252;68253;68254;68255;68256;70189;70190;70466;70467;70468;70469;70470;70471;70472;70473;70474;70475;70476;70477;71512;71513;71514;71515;78380;78381;78382;78383;78384;78385;78386;78387;78388;78389;78712;78713;79279;79280;79281;79282;79283;79284;79285;85999;86000;86001;86002;86003;86004;86005;88414;88415;88416;88791;90265;90266	2611;7615;10303;17984;18079;25811;41013;45522;49093;49387;52458;54039;54360;54660;56310;56523;56749;62013;63410;64046;66827;68250;70190;70477;71513;78381;78712;79280;85999;88416;88791;90266	59;60	1;259
YPL260W	YPL260W	9	9	9	>YPL260W YPL260W SGDID:S000006181, Chr XVI from 49303-50958, Genome Release 64-1-1, Uncharacterized ORF, Putative substrate of cAMP-dependent protein kinase (PKA); green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YPL2	1	9	9	9	2	5	3	3	3	2	3	2	3	4	2	5	3	3	3	2	3	2	3	4	2	5	3	3	3	2	3	2	3	4	20	20	20	62.779	551	551	5.47	2	5	3	3	3	2	3	2	3	4	2	5	3	3	3	2	3	2	3	4	2.7973E-35	6.9	13.8	9.4	8.7	5.8	6.7	9.4	5.3	8.5	11.4	136090000	15775000	29252000	12267000	8264500	17282000	8478000	13267000	9562100	10667000	11277000	19266000	18462000	12951000	9611800	12729000	17788000	15907000	15476000	13265000	9406000	2	5	3	3	3	2	3	2	3	4				1922	2591;4601;6299;6768;7683;8151;8414;9086;9194	True;True;True;True;True;True;True;True;True	2628;4655;6371;6845;7778;8273;8541;9219;9327	15525;15526;27844;38783;41818;41819;41820;41821;41822;41823;41824;41825;47533;47534;47535;47536;47537;47538;47539;47540;50180;51718;55341;55342;55902;55903;55904;55905;55906;55907	17482;17483;31486;44037;47554;47555;47556;47557;47558;47559;47560;47561;54071;54072;54073;54074;54075;54076;54077;54078;56959;58692;62665;62666;63275;63276;63277;63278;63279;63280	17482;31486;44037;47556;54074;56959;58692;62666;63277		
YPL262W	YPL262W	12	12	12	>YPL262W FUM1 SGDID:S000006183, Chr XVI from 47336-48802, Genome Release 64-1-1, Verified ORF, Fumarase, converts fumaric acid to L-malic acid in the TCA cycle; cytosolic and mitochondrial distribution determined by the N-terminal targeting sequence, prot	1	12	12	12	8	6	6	7	6	7	8	7	5	6	8	6	6	7	6	7	8	7	5	6	8	6	6	7	6	7	8	7	5	6	37.1	37.1	37.1	53.151	488	488	5.24	10	6	7	8	6	7	8	8	5	6	10	6	7	8	6	7	8	8	5	6	1.1603E-62	24.6	23.8	18.2	24	17.6	24	21.9	23.2	13.1	15.2	800080000	105180000	78257000	115070000	100470000	87509000	78466000	70527000	73030000	37757000	53807000	94623000	82891000	110700000	74848000	73719000	75954000	81273000	85566000	99203000	68238000	10	7	8	8	8	7	8	8	5	7				1923	352;406;4769;6197;6666;7765;9190;9701;10612;10748;10930;13017	True;True;True;True;True;True;True;True;True;True;True;True	359;413;4823;6268;6742;7872;9323;9843;10765;10906;11091;13216	2449;2450;2451;2452;2453;2454;2455;2456;2815;2816;2817;2818;2819;2820;2821;29345;38254;41233;41234;41235;47995;47996;47997;47998;47999;48000;48001;48002;48003;48004;48005;48006;48007;48008;55888;55889;55890;55891;55892;55893;55894;55895;55896;58743;64471;64472;64473;64474;64475;64476;64477;64478;64479;64480;65500;65501;65502;65503;65504;66609;66610;66611;66612;66613;66614;66615;66616;80334;80335;80336;80337	2774;2775;2776;2777;2778;2779;2780;2781;3170;3171;3172;3173;3174;3175;3176;33429;43473;46910;46911;46912;54548;54549;54550;54551;54552;54553;54554;54555;54556;54557;54558;54559;54560;54561;54562;54563;54564;54565;63261;63262;63263;63264;63265;63266;63267;63268;63269;66491;73204;73205;73206;73207;73208;73209;73210;73211;73212;73213;73214;74526;74527;74528;74529;74530;75831;75832;75833;75834;75835;75836;75837;75838;91528;91529;91530;91531	2778;3170;33429;43473;46911;54548;63264;66491;73211;74527;75833;91531		
YPL263C	YPL263C	4	4	4	>YPL263C KEL3 SGDID:S000006184, Chr XVI from 46506-44551, Genome Release 64-1-1, reverse complement, Verified ORF, Cytoplasmic protein of unknown function	1	4	4	4	1	2	1	2	0	1	1	0	1	1	1	2	1	2	0	1	1	0	1	1	1	2	1	2	0	1	1	0	1	1	9.1	9.1	9.1	75.432	651	651	4.8	1	2	1	2		1	1		1	1	1	2	1	2		1	1		1	1	2.0241E-40	1.5	3.4	2	5.2	0	1.5	1.5	0	1.5	1.5	74477000	10540000	25221000	1843700	11786000	0	5767900	6882500	0	7772200	4662900	0	25234000	0	0	0	0	0	0	0	0	1	2	1	2	0	1	1	0	1	1				1924	2353;10075;12424;13008	True;True;True;True	2387;10222;12615;13207	14250;61192;76874;80291;80292;80293;80294;80295;80296;80297	16118;69313;87700;91485;91486;91487;91488;91489;91490;91491	16118;69313;87700;91490		
YPL265W	YPL265W	2	2	2	>YPL265W DIP5 SGDID:S000006186, Chr XVI from 41043-42869, Genome Release 64-1-1, Verified ORF, Dicarboxylic amino acid permease, mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, 	1	2	2	2	0	0	1	1	2	1	0	1	1	1	0	0	1	1	2	1	0	1	1	1	0	0	1	1	2	1	0	1	1	1	3.6	3.6	3.6	68.097	608	608	6.25			1	1	2	1		1	1	1			1	1	2	1		1	1	1	0.00014712	0	0	2.1	2.1	3.6	2.1	0	2.1	2.1	2.1	794520000	0	0	93540000	151730000	237540000	67511000	0	85270000	72530000	86402000	0	0	0	0	175090000	0	0	0	0	0	0	0	1	1	2	1	0	1	1	1				1925	2819;11762	True;True	2856;11940	17156;72224;72225;72226;72227;72228;72229;72230	19395;82194;82195;82196;82197;82198;82199;82200	19395;82197		
YPL266W	YPL266W	4	4	4	>YPL266W DIM1 SGDID:S000006187, Chr XVI from 39121-40077, Genome Release 64-1-1, Verified ORF, Essential 18S rRNA dimethylase (dimethyladenosine transferase), responsible for conserved m6(2)Am6(2)A dimethylation in 3-terminal loop of 18S rRNA, part of 90	1	4	4	4	2	2	2	2	1	2	3	2	2	3	2	2	2	2	1	2	3	2	2	3	2	2	2	2	1	2	3	2	2	3	13.8	13.8	13.8	35.95	318	318	5.81	2	2	2	2	1	2	3	2	2	3	2	2	2	2	1	2	3	2	2	3	9.8382E-22	8.2	8.2	8.2	6.9	3.5	8.2	11.6	8.2	8.2	9.1	174610000	23910000	19227000	25340000	20273000	12509000	11490000	12670000	16408000	11040000	21745000	24131000	0	21793000	0	0	0	0	20486000	0	0	2	2	2	2	1	2	2	2	2	3				1926	3166;4322;8277;8325	True;True;True;True	3206;4371;8402;8450	19032;19033;19034;19035;19036;19037;19038;26150;50816;50817;50818;50819;50820;50821;50822;51104;51105;51106;51107;51108;51109	21465;21466;21467;21468;21469;21470;21471;29662;57629;57630;57631;57632;57633;57634;57635;57956;57957;57958;57959;57960;57961	21467;29662;57630;57957		
YPL271W	YPL271W	2	2	2	>YPL271W ATP15 SGDID:S000006192, Chr XVI from 30079-30267, Genome Release 64-1-1, Verified ORF, Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; phos	1	2	2	2	1	0	2	0	1	0	0	1	1	0	1	0	2	0	1	0	0	1	1	0	1	0	2	0	1	0	0	1	1	0	38.7	38.7	38.7	6.7425	62	62	4.83	1		2		1			1	1		1		2		1			1	1		1.9234E-13	21	0	38.7	0	21	0	0	17.7	17.7	0	9609500	380610	0	2710200	0	1446400	0	0	2545400	2526900	0	0	0	2395100	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	1	0				1927	8044;10053	True;True	8165;10200	49656;49657;49658;60821;60822;60823	56427;56428;56429;68714;68715;68716	56427;68715		
